BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
leslie3d06,3,3.121214,9.063029,6.784139,28.287651,21.174749,7530.434783,2880.91915,2700.429588,0.020069,0.018235,0.054656,0.000255
leslie3d06,4,3.128389,9.050746,6.369879,28.314258,19.927463,10091.237458,2736.075739,2541.687021,0.018854,0.016995,0.052665,0.000243
leslie3d06,5,3.134399,9.059611,5.930027,28.396433,18.58707,12528.160535,2425.068103,2370.80557,0.018095,0.016183,0.051099,0.000252
leslie3d06,6,3.14395,9.050663,5.488127,28.454827,17.254393,15015.384615,2135.012907,2200.956546,0.016751,0.014824,0.048837,0.000242
leslie3d06,7,3.14798,9.055878,5.133636,28.507723,16.160584,17534.983278,2110.255047,2061.416925,0.015878,0.013908,0.047392,0.000212
leslie3d06,8,3.15175,9.05657,4.791647,28.544048,15.102074,20179.799331,2034.756953,1926.418956,0.015035,0.013036,0.046323,0.000198
leslie3d06,9,3.160215,9.056413,4.51467,28.620214,14.267329,22533.779264,1910.947268,1819.911632,0.01443,0.012396,0.044499,0.000216
libquantum06,1,2.51462,23.831473,22.46913,59.927089,56.501313,2451.906355,7140.651351,7205.879161,0.081426,0.080634,0.223948,1E-06
libquantum06,10,2.792881,23.826646,8.16882,66.544976,22.814538,21151.839465,3077.931114,2909.38828,0.057892,0.057182,0.181908,1E-06
libquantum06,11,2.937402,23.825579,5.965906,69.985311,17.524265,24337.926421,2110.404816,2234.645253,0.046433,0.04568,0.148962,1E-06
libquantum06,2,2.682953,23.827564,21.486814,63.928231,57.648108,4351.571906,7175.666416,7350.47208,0.08472,0.083729,0.213126,1E-06
libquantum06,3,2.685615,23.827914,20.720465,63.992603,55.647191,7091.371237,6388.322606,7095.423464,0.082654,0.081673,0.21012,1E-06
libquantum06,4,2.590708,23.828394,19.426861,61.732408,50.329323,8787.692308,6061.719025,6417.486957,0.088755,0.087933,0.238168,1E-06
libquantum06,5,2.618094,23.827694,18.171862,62.383148,47.575647,10309.0301,5666.754307,6066.467933,0.088028,0.087255,0.229616,1E-06
libquantum06,6,2.63761,23.829413,17.540977,62.852705,46.266261,12268.093645,6306.088107,5899.942586,0.082851,0.082151,0.221487,1E-06
libquantum06,7,2.866179,23.825582,15.522829,68.288392,44.491212,14283.879599,6085.331962,5673.023677,0.05853,0.057772,0.162877,1E-06
libquantum06,8,2.808651,23.827241,13.202937,66.922399,37.082438,17861.672241,5029.979556,4728.807485,0.061647,0.060893,0.179317,1E-06
libquantum06,9,2.847191,23.828412,10.176991,67.844041,28.975837,19322.541806,4008.93453,3695.152364,0.058703,0.057975,0.168645,1E-06
mcf06,1,0.366633,69.604796,53.593259,25.519402,19.649047,2455.919732,2553.052075,2500.890022,0.652616,0.575582,0.760863,0.019685
mcf06,10,0.58525,69.323229,19.341732,40.571421,11.319749,24475.451505,1446.23901,1439.624131,0.463371,0.245337,0.627343,0.024559
mcf06,11,0.586392,69.368574,19.237059,40.677186,11.28046,26141.270903,1435.924011,1434.62879,0.462434,0.243399,0.626732,0.024773
mcf06,2,0.430792,69.530731,39.418624,29.953266,16.981219,4951.705686,2183.768458,2160.84919,0.609441,0.527832,0.721855,0.020343
mcf06,3,0.477539,69.449644,31.685327,33.16493,15.130987,7355.451505,1808.333585,1925.099764,0.573319,0.479375,0.693326,0.021614
mcf06,4,0.515819,69.452687,26.623581,35.825024,13.732953,9933.110368,1759.169566,1747.017516,0.541225,0.42681,0.670011,0.023102
mcf06,5,0.545726,69.376956,23.190957,37.860821,12.655913,12209.230769,1703.592216,1609.811385,0.512687,0.369845,0.65153,0.023736
